season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2016/17,149828,85,82,83,1281,7,4,5,23,0,0,0,1,0,0,9,271,338.2,268.4,516.0,111.3
2017/18,149828,70,66,25,369,1,1,1,4,0,0,0,1,0,0,1,76,83.2,100.8,115.0,29.6
