season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2016/17,6744,40,43,106,2520,0,0,9,34,0,0,0,1,0,91,9,546,644.0,0.0,0.0,64.7
2017/18,6744,45,42,5,270,0,0,0,7,0,0,0,0,0,8,0,44,64.2,0.0,0.0,6.3
2018/19,6744,50,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2019/20,6744,50,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
